id,dteday,season,yr,mnth,hour,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total,felt_temp,humidity,year,weather
1,2011-01-01,Spring,0,1,0,0,6,0,1,3.2799999999999994,0.2879,0.81,0.0,3,13,16,3.0014000000000003,81.0,2011,Saturday
2,2011-01-01,Spring,0,1,1,0,6,0,1,2.34,0.2727,0.8,0.0,8,32,40,1.9982000000000006,80.0,2011,Saturday
3,2011-01-01,Spring,0,1,2,0,6,0,1,2.34,0.2727,0.8,0.0,5,27,32,1.9982000000000006,80.0,2011,Saturday
4,2011-01-01,Spring,0,1,3,0,6,0,1,3.2799999999999994,0.2879,0.75,0.0,3,10,13,3.0014000000000003,75.0,2011,Saturday
5,2011-01-01,Spring,0,1,4,0,6,0,1,3.2799999999999994,0.2879,0.75,0.0,0,1,1,3.0014000000000003,75.0,2011,Saturday
6,2011-01-01,Spring,0,1,5,0,6,0,2,3.2799999999999994,0.2576,0.75,6.0032,0,1,1,1.0015999999999998,75.0,2011,Saturday
7,2011-01-01,Spring,0,1,6,0,6,0,1,2.34,0.2727,0.8,0.0,2,0,2,1.9982000000000006,80.0,2011,Saturday
8,2011-01-01,Spring,0,1,7,0,6,0,1,1.4000000000000004,0.2576,0.86,0.0,1,2,3,1.0015999999999998,86.0,2011,Saturday
9,2011-01-01,Spring,0,1,8,0,6,0,1,3.2799999999999994,0.2879,0.75,0.0,1,7,8,3.0014000000000003,75.0,2011,Saturday
10,2011-01-01,Spring,0,1,9,0,6,0,1,7.040000000000001,0.3485,0.76,0.0,8,6,14,7.000999999999998,76.0,2011,Saturday
11,2011-01-01,Spring,0,1,10,0,6,0,1,9.86,0.3939,0.76,16.997899999999998,12,24,36,9.997399999999999,76.0,2011,Saturday
12,2011-01-01,Spring,0,1,11,0,6,0,1,8.919999999999998,0.3333,0.81,19.0012,26,30,56,5.997799999999998,81.0,2011,Saturday
13,2011-01-01,Spring,0,1,12,0,6,0,1,11.739999999999998,0.4242,0.77,19.0012,29,55,84,11.997200000000003,77.0,2011,Saturday
14,2011-01-01,Spring,0,1,13,0,6,0,2,13.620000000000001,0.4545,0.72,19.999499999999998,47,47,94,13.997,72.0,2011,Saturday
15,2011-01-01,Spring,0,1,14,0,6,0,2,13.620000000000001,0.4545,0.72,19.0012,35,71,106,13.997,72.0,2011,Saturday
16,2011-01-01,Spring,0,1,15,0,6,0,2,12.68,0.4394,0.77,19.999499999999998,40,70,110,13.000399999999999,77.0,2011,Saturday
17,2011-01-01,Spring,0,1,16,0,6,0,2,11.739999999999998,0.4242,0.82,19.999499999999998,41,52,93,11.997200000000003,82.0,2011,Saturday
18,2011-01-01,Spring,0,1,17,0,6,0,2,12.68,0.4394,0.82,19.0012,15,52,67,13.000399999999999,82.0,2011,Saturday
19,2011-01-01,Spring,0,1,18,0,6,0,3,11.739999999999998,0.4242,0.88,16.997899999999998,9,26,35,11.997200000000003,88.0,2011,Saturday
20,2011-01-01,Spring,0,1,19,0,6,0,3,11.739999999999998,0.4242,0.88,16.997899999999998,6,31,37,11.997200000000003,88.0,2011,Saturday
21,2011-01-01,Spring,0,1,20,0,6,0,2,10.8,0.4091,0.87,16.997899999999998,11,25,36,11.000600000000002,87.0,2011,Saturday
22,2011-01-01,Spring,0,1,21,0,6,0,2,10.8,0.4091,0.87,12.998000000000001,3,31,34,11.000600000000002,87.0,2011,Saturday
23,2011-01-01,Spring,0,1,22,0,6,0,2,10.8,0.4091,0.94,15.001299999999999,11,17,28,11.000600000000002,94.0,2011,Saturday
24,2011-01-01,Spring,0,1,23,0,6,0,2,13.620000000000001,0.4545,0.88,19.999499999999998,15,24,39,13.997,88.0,2011,Saturday
25,2011-01-02,Spring,0,1,0,0,0,0,2,13.620000000000001,0.4545,0.88,19.999499999999998,4,13,17,13.997,88.0,2011,Sunday
26,2011-01-02,Spring,0,1,1,0,0,0,2,12.68,0.4394,0.94,16.997899999999998,1,16,17,13.000399999999999,94.0,2011,Sunday
27,2011-01-02,Spring,0,1,2,0,0,0,2,11.739999999999998,0.4242,1.0,19.0012,1,8,9,11.997200000000003,100.0,2011,Sunday
28,2011-01-02,Spring,0,1,3,0,0,0,2,13.620000000000001,0.4545,0.94,12.998000000000001,2,4,6,13.997,94.0,2011,Sunday
29,2011-01-02,Spring,0,1,4,0,0,0,2,13.620000000000001,0.4545,0.94,12.998000000000001,2,1,3,13.997,94.0,2011,Sunday
30,2011-01-02,Spring,0,1,6,0,0,0,3,11.739999999999998,0.4242,0.77,19.999499999999998,0,2,2,11.997200000000003,77.0,2011,Sunday
31,2011-01-02,Spring,0,1,7,0,0,0,2,10.8,0.4091,0.76,12.998000000000001,0,1,1,11.000600000000002,76.0,2011,Sunday
32,2011-01-02,Spring,0,1,8,0,0,0,3,10.8,0.4091,0.71,15.001299999999999,0,8,8,11.000600000000002,71.0,2011,Sunday
33,2011-01-02,Spring,0,1,9,0,0,0,2,9.86,0.3939,0.76,15.001299999999999,1,19,20,9.997399999999999,76.0,2011,Sunday
34,2011-01-02,Spring,0,1,10,0,0,0,2,8.919999999999998,0.3485,0.81,15.001299999999999,7,46,53,7.000999999999998,81.0,2011,Sunday
35,2011-01-02,Spring,0,1,11,0,0,0,2,8.919999999999998,0.3333,0.71,16.997899999999998,16,54,70,5.997799999999998,71.0,2011,Sunday
36,2011-01-02,Spring,0,1,12,0,0,0,2,8.919999999999998,0.3333,0.66,19.999499999999998,20,73,93,5.997799999999998,66.0,2011,Sunday
37,2011-01-02,Spring,0,1,13,0,0,0,2,8.919999999999998,0.3485,0.66,8.9981,11,64,75,7.000999999999998,66.0,2011,Sunday
38,2011-01-02,Spring,0,1,14,0,0,0,3,8.919999999999998,0.3485,0.76,12.998000000000001,4,55,59,7.000999999999998,76.0,2011,Sunday
39,2011-01-02,Spring,0,1,15,0,0,0,3,7.98,0.3333,0.81,11.0014,19,55,74,5.997799999999998,81.0,2011,Sunday
40,2011-01-02,Spring,0,1,16,0,0,0,3,7.98,0.3333,0.71,11.0014,9,67,76,5.997799999999998,71.0,2011,Sunday
41,2011-01-02,Spring,0,1,17,0,0,0,1,7.98,0.3333,0.57,12.998000000000001,7,58,65,5.997799999999998,56.99999999999999,2011,Sunday
42,2011-01-02,Spring,0,1,18,0,0,0,2,8.919999999999998,0.3333,0.46,22.0028,10,43,53,5.997799999999998,46.0,2011,Sunday
43,2011-01-02,Spring,0,1,19,0,0,0,1,7.040000000000001,0.2879,0.42,30.002599999999997,1,29,30,3.0014000000000003,42.0,2011,Sunday
44,2011-01-02,Spring,0,1,20,0,0,0,1,6.1,0.2727,0.39,23.9994,5,17,22,1.9982000000000006,39.0,2011,Sunday
45,2011-01-02,Spring,0,1,21,0,0,0,1,4.220000000000001,0.2273,0.44,22.0028,11,20,31,-0.9982000000000006,44.0,2011,Sunday
