id,dteday,season,year,mnth,hour,holiday,weekday,workingday,weather,temp,felt_temp,humidity,windspeed,casual,registered,total
12764,2012-06-21,Summer,2012,6,0,0,Thursday,1,Good,26.78,30.001999999999995,70.0,6.0032,16,53,69
12765,2012-06-21,Summer,2012,6,1,0,Thursday,1,Good,25.839999999999996,30.001999999999995,79.0,8.9981,2,16,18
12766,2012-06-21,Summer,2012,6,2,0,Thursday,1,Good,25.839999999999996,30.001999999999995,79.0,7.0015,11,7,18
12767,2012-06-21,Summer,2012,6,3,0,Thursday,1,Good,25.839999999999996,30.001999999999995,74.0,0.0,3,8,11
12768,2012-06-21,Summer,2012,6,4,0,Thursday,1,Good,24.9,28.002199999999995,84.0,6.0032,1,11,12
12769,2012-06-21,Summer,2012,6,5,0,Thursday,1,Good,24.9,28.002199999999995,84.0,7.0015,3,37,40
12770,2012-06-21,Summer,2012,6,6,0,Thursday,1,Okay,24.9,28.002199999999995,84.0,6.0032,3,147,150
12771,2012-06-21,Summer,2012,6,7,0,Thursday,1,Okay,24.9,28.002199999999995,84.0,6.0032,26,437,463
12772,2012-06-21,Summer,2012,6,8,0,Thursday,1,Good,26.78,30.001999999999995,70.0,0.0,27,563,590
12773,2012-06-21,Summer,2012,6,9,0,Thursday,1,Good,29.6,34.0016,55.00000000000001,12.998000000000001,32,224,256
12774,2012-06-21,Summer,2012,6,10,0,Thursday,1,Good,31.479999999999997,36.001400000000004,49.0,7.0015,36,114,150
12775,2012-06-21,Summer,2012,6,11,0,Thursday,1,Good,32.42,36.001400000000004,41.0,8.9981,40,121,161
12776,2012-06-21,Summer,2012,6,12,0,Thursday,1,Good,34.300000000000004,38.001200000000004,35.0,12.998000000000001,33,182,215
12777,2012-06-21,Summer,2012,6,13,0,Thursday,1,Good,34.300000000000004,38.001200000000004,35.0,0.0,31,141,172
12778,2012-06-21,Summer,2012,6,14,0,Thursday,1,Good,33.36,36.001400000000004,37.0,11.0014,27,149,176
12779,2012-06-21,Summer,2012,6,15,0,Thursday,1,Good,35.24,38.997800000000005,33.0,11.0014,40,154,194
12780,2012-06-21,Summer,2012,6,16,0,Thursday,1,Good,34.300000000000004,38.001200000000004,35.0,8.9981,37,283,320
12781,2012-06-21,Summer,2012,6,17,0,Thursday,1,Good,33.36,36.001400000000004,37.0,0.0,80,535,615
12782,2012-06-21,Summer,2012,6,18,0,Thursday,1,Good,32.42,36.001400000000004,41.0,12.998000000000001,78,562,640
12783,2012-06-21,Summer,2012,6,19,0,Thursday,1,Good,33.36,36.998000000000005,39.0,15.001299999999999,84,415,499
12784,2012-06-21,Summer,2012,6,20,0,Thursday,1,Good,32.42,36.001400000000004,44.0,12.998000000000001,79,357,436
12785,2012-06-21,Summer,2012,6,21,0,Thursday,1,Good,30.54,34.998200000000004,52.0,12.998000000000001,55,256,311
12786,2012-06-21,Summer,2012,6,22,0,Thursday,1,Good,29.6,36.001400000000004,63.0,11.0014,22,221,243
12787,2012-06-21,Summer,2012,6,23,0,Thursday,1,Good,29.6,34.998200000000004,59.0,6.0032,12,134,146
12788,2012-06-22,Summer,2012,6,0,0,Friday,1,Okay,27.72,32.001799999999996,70.0,7.0015,16,77,93
12789,2012-06-22,Summer,2012,6,1,0,Friday,1,Good,27.72,32.9984,75.0,11.0014,3,28,31
12790,2012-06-22,Summer,2012,6,2,0,Friday,1,Good,26.78,30.998599999999996,79.0,0.0,0,12,12
12791,2012-06-22,Summer,2012,6,3,0,Friday,1,Good,26.78,30.998599999999996,79.0,0.0,1,6,7
12792,2012-06-22,Summer,2012,6,4,0,Friday,1,Okay,27.72,32.001799999999996,66.0,0.0,3,7,10
12793,2012-06-22,Summer,2012,6,5,0,Friday,1,Okay,26.78,30.001999999999995,66.0,6.0032,3,35,38
12794,2012-06-22,Summer,2012,6,6,0,Friday,1,Okay,26.78,30.001999999999995,66.0,0.0,4,118,122
12795,2012-06-22,Summer,2012,6,7,0,Friday,1,Good,26.78,28.998799999999996,57.99999999999999,11.0014,19,340,359
12796,2012-06-22,Summer,2012,6,8,0,Friday,1,Good,27.72,30.001999999999995,55.00000000000001,8.9981,49,564,613
12797,2012-06-22,Summer,2012,6,9,0,Friday,1,Good,27.72,30.998599999999996,57.99999999999999,15.001299999999999,55,278,333
12798,2012-06-22,Summer,2012,6,10,0,Friday,1,Good,29.6,32.9984,52.0,23.9994,52,133,185
12799,2012-06-22,Summer,2012,6,11,0,Friday,1,Good,29.6,32.9984,49.0,11.0014,76,160,236
12800,2012-06-22,Summer,2012,6,12,0,Friday,1,Good,31.479999999999997,36.001400000000004,49.0,8.9981,63,191,254
12801,2012-06-22,Summer,2012,6,13,0,Friday,1,Good,33.36,36.998000000000005,39.0,15.001299999999999,72,228,300
12802,2012-06-22,Summer,2012,6,14,0,Friday,1,Good,33.36,36.998000000000005,39.0,15.001299999999999,65,198,263
12803,2012-06-22,Summer,2012,6,15,0,Friday,1,Good,34.300000000000004,38.001200000000004,35.0,23.9994,72,212,284
12804,2012-06-22,Summer,2012,6,16,0,Friday,1,Good,34.300000000000004,36.998000000000005,31.0,15.001299999999999,67,313,380
12805,2012-06-22,Summer,2012,6,17,0,Friday,1,Okay,30.54,32.001799999999996,38.0,11.0014,95,551,646
12806,2012-06-22,Summer,2012,6,18,0,Friday,1,Okay,29.6,34.0016,55.00000000000001,12.998000000000001,62,443,505
12807,2012-06-22,Summer,2012,6,19,0,Friday,1,Okay,27.72,30.001999999999995,55.00000000000001,35.0008,45,317,362
12808,2012-06-22,Summer,2012,6,20,0,Friday,1,Okay,27.72,30.001999999999995,55.00000000000001,35.0008,31,171,202
12809,2012-06-22,Summer,2012,6,21,0,Friday,1,Bad,23.96,26.002399999999994,65.0,19.0012,40,177,217
12810,2012-06-22,Summer,2012,6,22,0,Friday,1,Good,23.96,26.002399999999994,69.0,8.9981,42,155,197
12811,2012-06-22,Summer,2012,6,23,0,Friday,1,Okay,23.020000000000003,24.999200000000002,74.0,0.0,29,145,174
12812,2012-06-23,Summer,2012,6,0,0,Saturday,0,Good,22.080000000000002,22.0028,83.0,0.0,14,102,116
12813,2012-06-23,Summer,2012,6,1,0,Saturday,0,Good,23.020000000000003,24.0026,78.0,8.9981,16,107,123
12814,2012-06-23,Summer,2012,6,2,0,Saturday,0,Okay,22.080000000000002,22.0028,83.0,12.998000000000001,18,75,93
12815,2012-06-23,Summer,2012,6,3,0,Saturday,0,Okay,22.080000000000002,22.0028,83.0,6.0032,10,32,42
12816,2012-06-23,Summer,2012,6,4,0,Saturday,0,Okay,22.080000000000002,22.0028,83.0,11.0014,6,13,19
12817,2012-06-23,Summer,2012,6,5,0,Saturday,0,Okay,22.080000000000002,22.0028,83.0,12.998000000000001,1,11,12
12818,2012-06-23,Summer,2012,6,6,0,Saturday,0,Good,22.080000000000002,22.0028,83.0,6.0032,10,37,47
12819,2012-06-23,Summer,2012,6,7,0,Saturday,0,Good,22.080000000000002,22.0028,83.0,11.0014,19,59,78
12820,2012-06-23,Summer,2012,6,8,0,Saturday,0,Good,23.96,26.002399999999994,69.0,15.001299999999999,34,133,167
12821,2012-06-23,Summer,2012,6,9,0,Saturday,0,Good,25.839999999999996,28.998799999999996,62.0,12.998000000000001,85,247,332
12822,2012-06-23,Summer,2012,6,10,0,Saturday,0,Good,26.78,28.998799999999996,55.00000000000001,12.998000000000001,177,317,494
12823,2012-06-23,Summer,2012,6,11,0,Saturday,0,Good,27.72,28.998799999999996,48.0,15.001299999999999,167,349,516
12824,2012-06-23,Summer,2012,6,12,0,Saturday,0,Good,29.6,32.001799999999996,43.0,12.998000000000001,203,399,602
12825,2012-06-23,Summer,2012,6,13,0,Saturday,0,Good,30.54,32.001799999999996,34.0,12.998000000000001,226,338,564
12826,2012-06-23,Summer,2012,6,14,0,Saturday,0,Good,28.660000000000004,28.998799999999996,33.0,16.997899999999998,238,371,609
12827,2012-06-23,Summer,2012,6,15,0,Saturday,0,Good,31.479999999999997,32.001799999999996,30.0,22.0028,217,266,483
12828,2012-06-23,Summer,2012,6,16,0,Saturday,0,Good,31.479999999999997,30.998599999999996,26.0,19.999499999999998,196,317,513
12829,2012-06-23,Summer,2012,6,17,0,Saturday,0,Good,30.54,30.998599999999996,26.0,16.997899999999998,214,316,530
12830,2012-06-23,Summer,2012,6,18,0,Saturday,0,Good,30.54,30.998599999999996,26.0,19.999499999999998,194,287,481
12831,2012-06-23,Summer,2012,6,19,0,Saturday,0,Good,29.6,30.001999999999995,27.0,12.998000000000001,185,240,425
12832,2012-06-23,Summer,2012,6,20,0,Saturday,0,Good,28.660000000000004,28.998799999999996,31.0,12.998000000000001,158,228,386
12833,2012-06-23,Summer,2012,6,21,0,Saturday,0,Good,27.72,28.002199999999995,33.0,8.9981,99,223,322
12834,2012-06-23,Summer,2012,6,22,0,Saturday,0,Good,26.78,26.998999999999995,37.0,7.0015,101,178,279
12835,2012-06-23,Summer,2012,6,23,0,Saturday,0,Good,25.839999999999996,26.998999999999995,44.0,0.0,69,156,225
12836,2012-06-24,Summer,2012,6,0,0,Sunday,0,Good,24.9,26.998999999999995,51.0,0.0,31,132,163
12837,2012-06-24,Summer,2012,6,1,0,Sunday,0,Okay,23.96,26.002399999999994,54.0,6.0032,39,88,127
12838,2012-06-24,Summer,2012,6,2,0,Sunday,0,Okay,23.96,26.002399999999994,51.0,0.0,34,80,114
12839,2012-06-24,Summer,2012,6,3,0,Sunday,0,Okay,23.020000000000003,24.999200000000002,65.0,6.0032,19,41,60
12840,2012-06-24,Summer,2012,6,4,0,Sunday,0,Okay,23.020000000000003,24.999200000000002,65.0,0.0,4,9,13
12841,2012-06-24,Summer,2012,6,5,0,Sunday,0,Good,21.14,24.0026,69.0,8.9981,1,7,8
12842,2012-06-24,Summer,2012,6,6,0,Sunday,0,Good,22.080000000000002,24.0026,65.0,11.0014,6,19,25
12843,2012-06-24,Summer,2012,6,7,0,Sunday,0,Good,22.080000000000002,24.0026,69.0,7.0015,23,48,71
12844,2012-06-24,Summer,2012,6,8,0,Sunday,0,Good,24.9,26.998999999999995,57.99999999999999,0.0,38,103,141
12845,2012-06-24,Summer,2012,6,9,0,Sunday,0,Good,25.839999999999996,28.002199999999995,51.0,0.0,63,169,232
12846,2012-06-24,Summer,2012,6,10,0,Sunday,0,Good,27.72,28.998799999999996,40.0,0.0,161,291,452
12847,2012-06-24,Summer,2012,6,11,0,Sunday,0,Good,27.72,28.998799999999996,40.0,8.9981,215,291,506
12848,2012-06-24,Summer,2012,6,12,0,Sunday,0,Good,29.6,30.001999999999995,33.0,15.001299999999999,227,329,556
12849,2012-06-24,Summer,2012,6,13,0,Sunday,0,Good,29.6,30.001999999999995,33.0,19.0012,237,348,585
12850,2012-06-24,Summer,2012,6,14,0,Sunday,0,Good,31.479999999999997,32.001799999999996,30.0,19.999499999999998,253,298,551
12851,2012-06-24,Summer,2012,6,15,0,Sunday,0,Good,32.42,32.9984,28.000000000000004,15.001299999999999,197,290,487
12852,2012-06-24,Summer,2012,6,16,0,Sunday,0,Good,31.479999999999997,32.001799999999996,30.0,16.997899999999998,181,280,461
12853,2012-06-24,Summer,2012,6,17,0,Sunday,0,Good,31.479999999999997,32.001799999999996,32.0,16.997899999999998,203,329,532
12854,2012-06-24,Summer,2012,6,18,0,Sunday,0,Good,30.54,32.001799999999996,34.0,16.997899999999998,186,348,534
12855,2012-06-24,Summer,2012,6,19,0,Sunday,0,Good,29.6,30.998599999999996,38.0,19.999499999999998,176,247,423
12856,2012-06-24,Summer,2012,6,20,0,Sunday,0,Good,28.660000000000004,30.001999999999995,46.0,16.997899999999998,108,224,332
12857,2012-06-24,Summer,2012,6,21,0,Sunday,0,Good,27.72,30.001999999999995,55.00000000000001,15.001299999999999,76,177,253
12858,2012-06-24,Summer,2012,6,22,0,Sunday,0,Good,26.78,28.998799999999996,55.00000000000001,7.0015,53,125,178
12859,2012-06-24,Summer,2012,6,23,0,Sunday,0,Good,26.78,28.998799999999996,57.99999999999999,7.0015,20,67,87
12860,2012-06-25,Summer,2012,6,0,0,Monday,1,Good,25.839999999999996,28.998799999999996,62.0,16.997899999999998,31,37,68
12861,2012-06-25,Summer,2012,6,1,0,Monday,1,Good,24.9,26.998999999999995,65.0,15.001299999999999,11,20,31
12862,2012-06-25,Summer,2012,6,2,0,Monday,1,Good,24.9,26.998999999999995,70.0,15.001299999999999,4,10,14
12863,2012-06-25,Summer,2012,6,3,0,Monday,1,Good,23.96,26.002399999999994,69.0,16.997899999999998,1,4,5
12864,2012-06-25,Summer,2012,6,4,0,Monday,1,Good,23.020000000000003,24.0026,78.0,16.997899999999998,0,4,4
12865,2012-06-25,Summer,2012,6,5,0,Monday,1,Good,23.020000000000003,24.999200000000002,74.0,11.0014,1,42,43
12866,2012-06-25,Summer,2012,6,6,0,Monday,1,Good,22.080000000000002,22.9994,78.0,11.0014,11,147,158
12867,2012-06-25,Summer,2012,6,7,0,Monday,1,Good,23.020000000000003,24.999200000000002,74.0,15.001299999999999,30,455,485
12868,2012-06-25,Summer,2012,6,8,0,Monday,1,Good,23.020000000000003,24.999200000000002,69.0,12.998000000000001,53,555,608
12869,2012-06-25,Summer,2012,6,9,0,Monday,1,Good,24.9,26.998999999999995,65.0,12.998000000000001,37,231,268
12870,2012-06-25,Summer,2012,6,10,0,Monday,1,Good,27.72,30.001999999999995,55.00000000000001,11.0014,58,126,184
12871,2012-06-25,Summer,2012,6,11,0,Monday,1,Good,29.6,32.001799999999996,43.0,22.0028,54,127,181
12872,2012-06-25,Summer,2012,6,12,0,Monday,1,Okay,27.72,28.998799999999996,45.0,19.999499999999998,74,196,270
12873,2012-06-25,Summer,2012,6,13,0,Monday,1,Good,25.839999999999996,28.002199999999995,51.0,19.999499999999998,79,181,260
