id,dteday,season,year,mnth,hour,holiday,weekday,workingday,weather,temp,felt_temp,humidity,windspeed,casual,registered,total
15020,2012-09-23,Winter,2012,9,0,0,0,0,Sunday,21.14,24.999200000000002,38.0,16.997899999999998,34,146,180
15021,2012-09-23,Winter,2012,9,1,0,0,0,Sunday,17.380000000000003,18.0032,52.0,23.9994,23,119,142
15022,2012-09-23,Winter,2012,9,2,0,0,0,Sunday,16.44,17.0,48.0,16.997899999999998,18,77,95
15023,2012-09-23,Winter,2012,9,3,0,0,0,Sunday,14.559999999999999,15.0002,55.00000000000001,19.999499999999998,13,41,54
15024,2012-09-23,Winter,2012,9,4,0,0,0,Sunday,13.620000000000001,13.997,55.00000000000001,15.001299999999999,1,9,10
15025,2012-09-23,Winter,2012,9,5,0,0,0,Sunday,13.620000000000001,13.997,59.0,16.997899999999998,1,5,6
15026,2012-09-23,Winter,2012,9,6,0,0,0,Sunday,12.68,13.000399999999999,62.0,16.997899999999998,5,11,16
15027,2012-09-23,Winter,2012,9,7,0,0,0,Sunday,13.620000000000001,13.997,59.0,15.001299999999999,9,48,57
15028,2012-09-23,Winter,2012,9,8,0,0,0,Sunday,14.559999999999999,15.0002,55.00000000000001,23.9994,38,137,175
15029,2012-09-23,Winter,2012,9,9,0,0,0,Sunday,15.5,15.9968,51.0,22.0028,71,205,276
15030,2012-09-23,Winter,2012,9,10,0,0,0,Sunday,17.380000000000003,18.0032,45.0,16.997899999999998,138,351,489
15031,2012-09-23,Winter,2012,9,11,0,0,0,Sunday,18.320000000000004,18.9998,46.0,16.997899999999998,186,384,570
15032,2012-09-23,Winter,2012,9,12,0,0,0,Sunday,18.320000000000004,18.9998,43.0,7.0015,250,526,776
15033,2012-09-23,Winter,2012,9,13,0,0,0,Sunday,20.2,24.999200000000002,38.0,11.0014,257,445,702
15034,2012-09-23,Winter,2012,9,14,0,0,0,Sunday,20.2,24.999200000000002,38.0,12.998000000000001,266,400,666
15035,2012-09-23,Winter,2012,9,15,0,0,0,Sunday,20.2,24.999200000000002,33.0,15.001299999999999,265,375,640
15036,2012-09-23,Winter,2012,9,16,0,0,0,Sunday,20.2,24.999200000000002,33.0,22.0028,254,437,691
15037,2012-09-23,Winter,2012,9,17,0,0,0,Sunday,18.320000000000004,18.9998,35.0,19.999499999999998,227,496,723
15038,2012-09-23,Winter,2012,9,18,0,0,0,Sunday,17.380000000000003,18.0032,37.0,12.998000000000001,135,405,540
15039,2012-09-23,Winter,2012,9,19,0,0,0,Sunday,16.44,17.0,42.0,11.0014,82,331,413
15040,2012-09-23,Winter,2012,9,20,0,0,0,Sunday,16.44,17.0,42.0,11.0014,60,192,252
15041,2012-09-23,Winter,2012,9,21,0,0,0,Sunday,16.44,17.0,48.0,7.0015,51,145,196
15042,2012-09-23,Winter,2012,9,22,0,0,0,Sunday,16.44,17.0,48.0,0.0,40,98,138
15043,2012-09-23,Winter,2012,9,23,0,0,0,Sunday,15.5,15.9968,59.0,7.0015,30,70,100
15044,2012-09-24,Winter,2012,9,0,0,1,1,Monday,13.620000000000001,13.997,63.0,12.998000000000001,10,54,64
15045,2012-09-24,Winter,2012,9,1,0,1,1,Monday,13.620000000000001,13.997,67.0,8.9981,6,12,18
15046,2012-09-24,Winter,2012,9,2,0,1,1,Monday,13.620000000000001,13.997,63.0,8.9981,0,8,8
15047,2012-09-24,Winter,2012,9,3,0,1,1,Monday,13.620000000000001,13.997,63.0,11.0014,0,5,5
15048,2012-09-24,Winter,2012,9,4,0,1,1,Monday,12.68,13.000399999999999,67.0,7.0015,0,8,8
15049,2012-09-24,Winter,2012,9,5,0,1,1,Monday,13.620000000000001,13.997,63.0,0.0,2,35,37
15050,2012-09-24,Winter,2012,9,6,0,1,1,Monday,13.620000000000001,13.997,59.0,0.0,6,162,168
15051,2012-09-24,Winter,2012,9,7,0,1,1,Monday,13.620000000000001,13.997,67.0,8.9981,17,513,530
15052,2012-09-24,Winter,2012,9,8,0,1,1,Monday,15.5,15.9968,55.00000000000001,12.998000000000001,31,719,750
15053,2012-09-24,Winter,2012,9,9,0,1,1,Monday,16.44,17.0,52.0,12.998000000000001,42,286,328
15054,2012-09-24,Winter,2012,9,10,0,1,1,Monday,17.380000000000003,18.0032,49.0,15.001299999999999,52,146,198
15055,2012-09-24,Winter,2012,9,11,0,1,1,Monday,18.320000000000004,18.9998,37.0,12.998000000000001,71,167,238
15056,2012-09-24,Winter,2012,9,12,0,1,1,Monday,18.320000000000004,18.9998,35.0,19.999499999999998,77,265,342
15057,2012-09-24,Winter,2012,9,13,0,1,1,Monday,20.2,24.999200000000002,31.0,19.999499999999998,80,248,328
15058,2012-09-24,Winter,2012,9,14,0,1,1,Monday,20.2,24.0026,28.000000000000004,0.0,77,226,303
15059,2012-09-24,Winter,2012,9,15,0,1,1,Monday,20.2,24.999200000000002,31.0,0.0,84,216,300
15060,2012-09-24,Winter,2012,9,16,0,1,1,Monday,19.259999999999998,20.003,30.0,16.997899999999998,99,417,516
15061,2012-09-24,Winter,2012,9,17,0,1,1,Monday,19.259999999999998,20.003,30.0,0.0,89,809,898
15062,2012-09-24,Winter,2012,9,18,0,1,1,Monday,17.380000000000003,18.0032,37.0,11.0014,95,758,853
15063,2012-09-24,Winter,2012,9,19,0,1,1,Monday,16.44,17.0,39.0,8.9981,56,534,590
15064,2012-09-24,Winter,2012,9,20,0,1,1,Monday,16.44,17.0,52.0,7.0015,52,380,432
15065,2012-09-24,Winter,2012,9,21,0,1,1,Monday,15.5,15.9968,51.0,8.9981,26,230,256
15066,2012-09-24,Winter,2012,9,22,0,1,1,Monday,15.5,15.9968,51.0,15.001299999999999,18,154,172
